ZONEID,TIMESTAMP,TARGETVAR,U10,V10,U100,V100
1,20120102 5:00,0.755004215,3.591518614,-4.586108508,5.799840899,-7.160514637
1,20120102 6:00,0.376750294,2.892257576,-3.52588589,5.290088095,-6.348387005
1,20120102 7:00,0.567803766,2.571205551,-3.199826202,5.1227607,-6.386932285
1,20120102 8:00,0.274222341,3.205607595,-0.550326921,7.329617355,-1.311803773
1,20120102 9:00,0.154684708,2.901175687,0.764061549,7.027599179,1.817858809
1,20120102 10:00,0.095291795,2.199887805,1.119724581,5.654271247,2.984924226
1,20120102 11:00,0.087491775,1.788438557,1.984988033,4.444126377,5.089924786
1,20120102 12:00,0.023952164,0.881223366,1.868689182,2.355901219,4.90844076
1,20120102 13:00,0.001952942,0.676106795,1.92874168,1.645148325,4.568492806
1,20120102 14:00,0.05948689,0.207500557,1.905059005,0.79297011,3.937313849
1,20120102 15:00,0.023867,-0.987121055,1.68430264,-0.827981644,2.975823257
1,20120102 16:00,0,-1.045899519,1.51218034,-0.978731711,2.513279899
1,20120102 17:00,0,-1.17845509,1.414489305,-1.011886365,2.550219126
1,20120102 18:00,0,-1.724081384,1.156517308,-1.658402117,2.62945109
1,20120102 19:00,0,-1.746782032,0.686247045,-1.841270756,2.091423226
1,20120102 20:00,0,-1.202777213,0.455340962,-2.494521047,2.091423226
1,20120102 21:00,0.030524623,-1.878932234,0.27095442,-3.803093796,1.525021753
1,20120102 22:00,0.057137486,-1.447619918,-0.495349282,-2.6613304,-0.480938852
1,20120102 23:00,0.033643454,-1.28912075,0.019325997,-1.841788797,-0.05961753
1,20120103 0:00,0.010610492,-0.819703774,0.437156051,-1.147095188,0.468238664
1,20120103 1:00,0.191617324,-1.849580064,-1.862143769,-2.350273653,-2.541779401
1,20120103 2:00,0.392726241,0.463846686,-1.697785765,0.72588207,-2.284869902
1,20120103 3:00,0.27948501,3.447000597,-1.315160332,4.586008378,-1.765584743
1,20120103 4:00,0.129217178,5.079848125,-1.653080388,6.996706167,-2.341171345
1,20120103 5:00,0.117658111,4.975978403,-1.635987156,7.145317268,-2.425896818
1,20120103 6:00,0.187388399,4.99613223,-1.424294046,7.38986718,-2.147669296
1,20120103 7:00,0.209096886,4.671733136,-1.035532581,7.240785791,-1.596680412
1,20120103 8:00,0.190395639,3.621796285,-0.652907148,6.806239408,-1.164853807
1,20120103 9:00,0.150831684,2.444347723,-0.253626771,5.994992103,-0.465185382
1,20120103 10:00,0.132882246,1.980034564,0.487079967,5.001743229,1.159903856
1,20120103 11:00,0.192181183,2.04979781,0.485326815,3.545730674,0.689267518
1,20120103 12:00,0.240390935,2.334276824,0.176333768,4.722862271,0.515990259
1,20120103 13:00,0.341979128,2.937341328,0.976209387,7.037621249,2.638500018
1,20120103 14:00,0.54534347,4.08029584,2.084201477,7.473578496,3.90500919
1,20120103 15:00,0.759890956,4.648866295,2.374786428,7.611843254,3.977709112
1,20120103 16:00,0.828305606,3.881858163,2.245053177,6.215087024,3.737744707
1,20120103 17:00,0.714500502,3.74116895,2.832797399,5.773486317,4.499180734
1,20120103 18:00,0.7531247,3.776050573,3.773363469,5.768313146,5.805046254
1,20120103 19:00,0.696926967,3.152832243,4.72926962,4.812687335,7.26560409
1,20120103 20:00,0.723146305,2.059099576,4.496538686,3.088610454,6.844163188
1,20120103 21:00,0.595996603,1.744777396,5.191225183,2.514388448,7.606692447
1,20120103 22:00,0.409078084,1.321159463,5.474797525,1.834351577,7.808393735
1,20120103 23:00,0.278921149,1.139775024,5.484439862,1.548886583,7.661354043
1,20120104 0:00,0.282398265,1.003736694,5.230232816,1.352306076,7.200556791
1,20120104 1:00,0.318861001,1.400525018,5.498354513,1.865545731,7.507147578
1,20120104 2:00,0.270087394,0.992355582,5.596643637,1.308908959,7.608096667
1,20120104 3:00,0.245653601,0.555289195,5.284259392,0.722895541,7.153217641
1,20120104 4:00,0.229583677,0.524786858,5.010314953,0.672246154,6.726312458
1,20120104 5:00,0.304012772,0.525990898,5.001556516,0.679337068,6.712325536
1,20120104 6:00,0.422610647,0.262306218,4.893535796,0.344544614,6.600430161
1,20120104 7:00,0.461234838,0.025913103,4.705229406,0.027479446,6.391842586
1,20120104 8:00,0.404097346,-0.176766902,4.516436435,-0.268819472,6.237986445
1,20120104 9:00,0.316323649,-0.661192181,4.253196753,-1.011845992,6.286636608
1,20120104 10:00,0.298092277,-1.024009457,3.167150594,-2.031924663,5.99656001
1,20120104 11:00,0.076496567,-1.284483365,2.82508498,-2.643262774,5.531950951
1,20120104 12:00,0.075838735,-1.33384899,2.507348357,-2.86206813,5.114167674
1,20120104 13:00,0.031951884,-1.352712277,2.072345998,-3.11936702,4.519419429
1,20120104 14:00,0.007142184,-1.267225463,1.586252757,-3.252068416,3.800613267
1,20120104 15:00,0,-1.233512353,1.373617376,-3.349821735,3.408979453
1,20120104 16:00,0,-1.225084076,1.287979327,-3.393886702,3.224108833
1,20120104 17:00,0.009288953,-1.114713776,1.325932553,-3.080873485,3.13228165
1,20120104 18:00,0.01389672,-1.246355443,1.385781871,-3.074795559,3.064779548
1,20120104 19:00,0,-1.425757348,1.466554121,-2.980587697,2.793554888
1,20120104 20:00,0,-0.86106276,1.018414107,-2.629587439,2.733958438
1,20120104 21:00,0,-1.27685778,1.723954846,-1.882002475,2.412867361
1,20120104 22:00,0,-1.089830291,2.159930365,-1.476300878,2.844029433
1,20120104 23:00,0.019450124,-0.629887151,2.466962232,-0.833560147,3.219243817
1,20120105 0:00,0.058265199,-0.248607933,2.509294676,-0.327066268,3.252082677
1,20120105 1:00,0.073019454,0.973580216,3.121492365,1.276498398,4.071186855
1,20120105 2:00,0.094821916,0.995973743,3.516629479,1.285355229,4.612885435
1,20120105 3:00,0.188140208,1.158793349,3.769091058,1.514451937,4.966043289
1,20120105 4:00,0.278075363,1.186318726,4.100302121,1.577040213,5.440527955
1,20120105 5:00,0.219246307,1.060821666,4.698798195,1.405808138,6.302916651
1,20120105 6:00,0.211822194,1.077616812,5.218081553,1.437692731,7.122015029
1,20120105 7:00,0.225260778,0.879340788,5.332036688,1.199148736,7.357833338
1,20120105 8:00,0.201296864,0.467393191,5.015649058,0.637035164,7.043408926
1,20120105 9:00,0.18062212,0.117027794,3.962258909,0.205412242,6.159944681
1,20120105 10:00,0.13034489,-0.044392216,2.355769447,-0.073873178,5.691156109
1,20120105 11:00,0.082511042,-0.355102409,2.60081931,-0.865673914,6.208931093
1,20120105 12:00,0.008645802,-0.640619883,2.129248874,-1.707663362,5.326606066
1,20120105 13:00,0.030354288,-0.746522606,1.819809727,-2.023557019,4.756996624
1,20120105 14:00,0.015694012,-0.859423307,1.691494392,-2.346536141,4.473900731
1,20120105 15:00,0.014754253,-1.002648576,1.536774819,-2.650030234,4.054668181
1,20120105 16:00,0.005826518,-1.163135522,1.458488568,-2.867908288,3.538032417
1,20120105 17:00,0.012780753,-1.176664945,1.375569994,-3.030283533,3.419553653
1,20120105 18:00,0.011840991,-1.410863918,1.219923956,-3.64730946,3.253797305
1,20120105 19:00,0.016351847,-1.575083119,0.934572887,-4.117311985,2.62551809
1,20120105 20:00,0.043698902,-1.785955502,0.80579432,-4.596171342,2.168691317
1,20120105 21:00,0.033361527,-2.782000939,1.167578711,-4.087198758,1.681105634
1,20120105 22:00,0.028286815,-3.143096568,1.190740324,-4.307438635,1.561487651
1,20120105 23:00,0.077342353,-3.096443386,0.978579951,-4.15805341,1.243645582
1,20120106 0:00,0.083356827,-2.813725103,0.408341045,-3.7222973,0.461002208
1,20120106 1:00,0.068320645,-2.588941929,0.099536237,-3.395313992,0.006668173
1,20120106 2:00,0.009394678,-2.342081664,-0.071169092,-3.041540101,-0.246612312
1,20120106 3:00,0,-1.936100626,-0.29443623,-2.482884983,-0.548761032
1,20120106 4:00,0.216051119,-1.10034479,-0.325780428,-1.357576381,-0.607760486
1,20120106 5:00,0.357391211,-0.803418487,-0.240427764,-0.959503847,-0.483206083
1,20120106 6:00,0.491777076,-0.827212248,-0.323369336,-0.998880419,-0.596437358
1,20120106 7:00,0.337468285,-0.27301591,-0.36532234,-0.296254709,-0.607164532
1,20120106 8:00,0.188892018,-0.340431565,-0.439101762,-0.409462354,-0.735890614
1,20120106 9:00,0.2747862,-0.733524316,-0.652724531,-0.5571245,-1.237683951
1,20120106 10:00,0.415280507,-1.021032255,-1.055376929,-0.9287409,-1.653659901
1,20120106 11:00,0.289916357,-1.277310883,-0.968095392,-1.625829279,-2.257361386
1,20120106 12:00,0.252325904,-1.307053084,-0.799318937,-1.611678324,-2.560702014
1,20120106 13:00,0.276101866,-1.43841447,-1.035605973,-1.622137726,-3.545218159
1,20120106 14:00,0.203176389,-1.373477332,-1.673098752,-1.515697929,-5.05774962
1,20120106 15:00,0.1397425,-0.79945286,-2.272496274,-0.956427552,-6.317596551
1,20120106 16:00,0.161450989,-0.417761286,-2.588831571,-0.451915221,-7.228214389
1,20120106 17:00,0.233436701,-0.43164098,-2.797632156,-0.444532114,-7.735371313
1,20120106 18:00,0.307771814,-0.4197441,-3.072014449,-0.508519044,-8.126913145
1,20120106 19:00,0.33493092,-0.549618376,-3.275510631,-0.842604648,-8.368870503
1,20120106 20:00,0.430692596,-0.620503954,-3.45200258,-1.006263526,-8.469586743
1,20120106 21:00,0.234564419,-0.865381405,-4.03982686,-1.406797096,-8.11737788
1,20120106 22:00,0.178366694,-0.753848153,-4.544709567,-1.064097867,-7.564928445
1,20120106 23:00,0.099614696,-0.617529734,-4.594378067,-0.903515283,-7.435010455
1,20120107 0:00,0.061742316,-0.43015387,-5.313365762,-0.338092317,-7.918329216
1,20120107 1:00,0.113711114,-1.868353561,-4.659677993,-2.547139722,-6.990839065
1,20120107 2:00,0.08636406,-1.436902551,-5.422711539,-1.959126797,-8.389123234
1,20120107 3:00,0.032327789,-2.191941819,-4.535526454,-3.622875044,-8.855597204
1,20120107 4:00,0.010989335,-1.309471777,-4.10054296,-2.483861174,-7.76393434
1,20120107 5:00,0.009852811,-0.637477282,-3.390976135,-0.189118346,-6.905508461
1,20120107 6:00,0,1.904933705,-3.443083533,4.484539718,-7.038624204
1,20120107 7:00,0.010880675,3.478966263,-5.33571484,5.722053215,-8.28729538
1,20120107 8:00,0.065783291,0.915078179,-4.619351398,2.017870268,-7.6734839
1,20120107 9:00,0.028380791,0.581944545,-4.31123809,1.375533306,-7.170602205
1,20120107 10:00,0.018040481,0.974259512,-4.256865153,2.028615682,-7.444229009
1,20120107 11:00,0.009867492,1.756503103,-3.5862656,3.526406981,-6.322415998
1,20120107 12:00,0.063245936,2.511065102,-3.093737414,4.74481752,-5.461145765
1,20120107 13:00,0.077154402,2.554496565,-2.692283898,4.831974766,-4.830837035
1,20120107 14:00,0.113147258,2.56451921,-1.919735088,4.753772032,-3.660101144
1,20120107 15:00,0.224039089,3.346762801,-1.352444115,5.95845232,-2.533168297
1,20120107 16:00,0.252701808,3.489466177,-1.73758575,6.134557713,-2.896676671
1,20120107 17:00,0.216145093,3.429330306,-1.284931051,6.145303127,-2.035975309
1,20120107 18:00,0.264824735,3.445557446,-1.028018925,6.295141954,-1.617286477
1,20120107 19:00,0.266516299,3.642192198,-1.281759297,6.230072503,-1.9876213
1,20120107 20:00,0.285969359,3.833099725,-1.72716427,6.47065038,-2.595744073
1,20120107 21:00,0.324405595,3.942871553,-2.086478761,6.594819607,-3.103745604
1,20120107 22:00,0.598064087,4.52895766,-2.494728894,6.732122118,-3.53438072
1,20120107 23:00,0.676158244,5.283042391,-2.423590969,7.517731265,-3.350066615
1,20120108 0:00,0.561695321,6.826529745,-2.352906151,9.684126094,-3.333000494
1,20120108 1:00,0.719857131,8.84149642,-3.075946008,12.70714809,-4.392906012
1,20120108 2:00,0.871910501,7.604467741,-1.78294331,11.02903277,-2.517780292
1,20120108 3:00,0.935156436,6.776701485,-0.324452218,9.771387233,-0.340156155
1,20120108 4:00,0.96673242,6.695289068,-0.89817855,9.498780867,-1.183264189
1,20120108 5:00,0.984587884,7.200046056,-1.360250061,10.2391733,-1.927361697
1,20120108 6:00,0.973874607,7.642313513,-0.476482219,10.99354555,-0.745309656
1,20120108 7:00,0.96475893,7.666517205,-0.166939168,11.39465867,-0.262405559
1,20120108 8:00,0.943332364,6.708931148,-0.727207106,10.06765174,-1.056919469
1,20120108 9:00,0.717319782,6.032988049,-0.691816516,9.58588586,-1.072712559
1,20120108 10:00,0.676064276,5.208302263,-0.37928271,8.784197317,-0.604386699
1,20120108 11:00,0.804623591,4.748872188,-0.483959105,8.560520299,-0.764747305
1,20120108 12:00,0.687341405,4.384056544,-0.71524409,7.990574052,-1.111587858
1,20120108 13:00,0.71280894,4.648536885,-0.94403678,8.119618485,-1.505200254
1,20120108 14:00,0.830561007,3.931667543,-1.19326629,7.419014749,-1.947406773
1,20120108 15:00,0.896814187,3.925946671,-1.44748039,7.30610087,-2.342841449
1,20120108 16:00,0.912414227,4.003838551,-1.454458816,7.622797417,-2.405406382
1,20120108 17:00,0.817780265,4.130137815,-1.607984194,7.634088805,-2.589456623
1,20120108 18:00,0.86514422,4.043444592,-1.401123701,7.777113052,-2.301536444
1,20120108 19:00,0.692604049,4.101973519,-1.152891109,7.605053807,-1.739666897
1,20120108 20:00,0.652664206,3.899102576,-1.004350321,7.229211895,-1.410441714
1,20120108 21:00,0.723522207,5.59556133,-0.293547759,8.193819035,-0.601349566
1,20120108 22:00,0.756225892,6.225297382,0.598693886,9.100893864,0.714336313
1,20120108 23:00,0.853961087,6.219576509,0.868360216,9.057341368,1.357601016
1,20120109 0:00,0.504557831,6.388122217,0.355445885,9.095517013,0.745315067
1,20120109 1:00,0.725589689,6.474846174,-0.024236903,9.110968698,0.012476433
1,20120109 2:00,0.783291024,6.637078888,-0.368689598,9.404752982,-0.401457874
1,20120109 3:00,0.746828297,6.434911967,-0.606890745,9.157934212,-0.777926594
1,20120109 4:00,0.776712686,6.550970755,-0.849539631,9.277346532,-1.203946574
1,20120109 5:00,0.675594392,7.325943952,-0.269850948,10.34256438,-0.429859206
1,20120109 6:00,0.823888708,7.024773478,0.008379852,9.955348698,-0.000817807
1,20120109 7:00,0.85189361,7.406644328,0.684930412,10.66732592,1.024651563
1,20120109 8:00,0.752466852,6.892075437,0.526788572,10.24013959,0.946698971
1,20120109 9:00,0.671741361,6.533915521,0.801560019,10.45398257,1.368488966
1,20120109 10:00,0.723146306,5.409518016,0.485276339,8.848161668,0.932800447
1,20120109 11:00,0.818062191,4.771402673,-0.41909731,7.938329726,-0.533795996
1,20120109 12:00,0.617329181,4.722316878,-0.4418302,7.606573323,-0.651631309
1,20120109 13:00,0.611126764,4.973985576,0.425478956,7.847896128,0.875997783
1,20120109 14:00,0.467343283,5.00060838,0.923131559,7.875375951,1.509891342
1,20120109 15:00,0.549102507,4.780554262,1.136623043,7.624560116,1.870648687
1,20120109 16:00,0.636970195,4.059242655,1.404475785,6.85262692,2.511793651
1,20120109 17:00,0.627384625,3.546337689,1.457354463,5.787409073,2.668303119
1,20120109 18:00,0.6562353,3.33834703,1.369882258,5.635520599,2.591559094
1,20120109 19:00,0.537637439,2.995578423,1.296741657,5.666497853,2.766801355
1,20120109 20:00,0.468564973,3.144083754,1.074848887,5.591552883,2.309358625
1,20120109 21:00,0.405694941,3.629949934,0.925108332,5.538092137,1.735893431
1,20120109 22:00,0.612724345,4.772234636,1.800818772,6.780679748,2.758945668
1,20120109 23:00,0.58321585,4.567571827,1.438080926,6.47190647,2.228988898
1,20120110 0:00,0.514989184,4.814248749,1.261159743,6.756197725,1.904488572
1,20120110 1:00,0.452213134,5.523344002,1.094588861,7.924149109,1.711659983
1,20120110 2:00,0.572408593,6.603053913,0.835383759,9.291948763,1.301629248
1,20120110 3:00,0.809510372,6.808031051,0.710048883,9.776895913,1.167318248
1,20120110 4:00,0.626538845,6.801075739,0.091460623,9.82315241,0.27737138
1,20120110 5:00,0.672869072,6.587915881,-0.148876864,9.67045623,0.012025258
1,20120110 6:00,0.885443066,7.348499711,0.868177472,10.68262797,1.268870468
1,20120110 7:00,0.94239261,7.177071725,2.006074394,10.6736751,3.411840688
1,20120110 8:00,0.862606883,6.380893064,1.091893487,9.76147708,1.832321491
1,20120110 9:00,0.920214242,5.729957683,0.423440815,9.005456908,0.808063623
1,20120110 10:00,0.972558937,5.184170256,-0.104403198,8.905483188,0.030042587
1,20120110 11:00,0.965510732,4.854815773,-0.853267852,8.533939064,-1.261199341
1,20120110 12:00,0.990226475,5.76718906,-1.179857296,9.707262476,-1.942035995
1,20120110 13:00,0.991542145,5.810557476,-1.449394664,9.904225626,-2.039766357
1,20120110 14:00,0.99830843,5.790918948,-1.081476157,9.895770137,-1.533643199
1,20120110 15:00,0.993421666,6.293747095,0.202420173,10.36728798,0.575476282
1,20120110 16:00,0.996334923,6.830942667,1.414439871,11.01836062,2.517525982
1,20120110 17:00,0.982896315,6.922179996,1.96070227,11.33569014,3.268794013
1,20120110 18:00,0.987031282,6.486859289,2.494835488,10.68511488,4.241183813
1,20120110 19:00,0.990602371,6.582597113,4.176748664,10.21011537,6.425102509
1,20120110 20:00,0.990508395,5.800329076,4.640802166,9.214357219,7.589131174
1,20120110 21:00,0.983836081,5.739367811,5.562619965,9.113388735,8.955718297
1,20120110 22:00,0.979701124,5.294636976,5.932335388,8.126086076,9.237443809
1,20120110 23:00,0.97190111,4.520960795,6.488930053,6.693626802,9.798164934
1,20120111 0:00,0.912790127,4.597060091,7.282717602,6.623495984,10.69466356
1,20120111 1:00,0.92284555,4.093565632,7.602277237,5.773927055,10.99841935
1,20120111 2:00,0.797293476,3.780868453,7.103676814,5.325111792,10.14211066
1,20120111 3:00,0.800394694,3.530566443,6.783410914,4.939193562,9.662617088
1,20120111 4:00,0.694859494,3.39603813,6.584625184,4.749603932,9.396832231
1,20120111 5:00,0.652194331,3.177114038,6.254951729,4.422539355,8.869684077
1,20120111 6:00,0.444976969,2.903368756,6.189098843,4.066721849,8.783218024
1,20120111 7:00,0.356921329,2.474176549,6.050848685,3.479083847,8.718859768
1,20120111 8:00,0.370735824,2.065542289,5.915052671,2.930981123,8.654501513
1,20120111 9:00,0.236819841,1.598840847,5.229528217,2.40579089,8.128335927
1,20120111 10:00,0.184381162,0.867410767,3.810214461,1.53062359,7.24304145
1,20120111 11:00,0.09416408,0.499892398,3.349653283,0.9263628,7.015085492
1,20120111 12:00,0.20148482,0.481498446,2.792562408,0.956014259,6.468777246
1,20120111 13:00,0.15214735,0.594386817,2.215020326,1.267354577,5.796700196
1,20120111 14:00,0.093224318,0.740456433,1.865304689,1.661808832,5.272008464
1,20120111 15:00,0.137393098,0.857312127,1.657520427,1.923280787,4.812166271
1,20120111 16:00,0.118691849,1.113745454,1.583487058,2.250794628,4.421595179
1,20120111 17:00,0.142843713,1.295160311,1.410878872,2.747231931,4.194621789
1,20120111 18:00,0.132788269,1.270274376,1.401880341,2.751724577,4.130754818
1,20120111 19:00,0.064185695,1.261979064,1.430921055,2.818215727,4.216729586
1,20120111 20:00,0.027347053,1.313193597,1.586350227,2.917952452,4.349867657
1,20120111 21:00,0.041255521,1.59775885,2.379448029,2.46329675,4.312038759
1,20120111 22:00,0.120383419,1.835437559,4.47937795,2.660074613,6.584229079
1,20120111 23:00,0.098205053,1.669531328,4.380394108,2.399501187,6.418174954
1,20120112 0:00,0.096043604,1.745631795,4.314541222,2.426906323,6.070345603
1,20120112 1:00,0.06578329,1.568687344,2.975646668,2.050510849,4.10770256
1,20120112 2:00,0.069448359,1.884169946,2.964600668,2.477309527,4.032739333
1,20120112 3:00,0.148012404,2.139407847,3.0542682,2.865754301,4.180221335
1,20120112 4:00,0.21191617,2.257758383,3.338215386,3.050834187,4.528148488
1,20120112 5:00,0.19001973,2.244925192,3.603319394,3.064659431,4.894816448
1,20120112 6:00,0.153181088,2.177907419,3.614690277,2.984383818,5.019483554
1,20120112 7:00,0.187012497,2.394645749,3.614690277,3.320203467,5.118483903
1,20120112 8:00,0.191805278,2.278434079,3.920729463,3.280957612,5.738560164
1,20120112 9:00,0.188704064,1.565479046,4.300516945,2.252983785,6.520377736
1,20120112 10:00,0.195188417,1.015077761,3.716703339,1.581790462,6.054709427
1,20120112 11:00,0.144159379,1.014008329,2.504567242,1.968451333,5.212595346
1,20120112 12:00,0.166995578,1.363712772,2.009771403,2.827400396,4.595370947
1,20120112 13:00,0.153087112,1.059993928,1.735570689,2.389006352,4.119110008
1,20120112 14:00,0.199417342,0.889954153,1.831735868,1.672323515,4.04455419
1,20120112 15:00,0.155718447,1.205436755,2.478901535,2.004129384,4.591704267
1,20120112 16:00,0.192839014,1.106692483,2.365192708,1.756612909,4.33707374
1,20120112 17:00,0.148670233,1.305250459,2.118606995,2.093770485,3.976924321
1,20120112 18:00,0.092848415,1.402568821,1.7371951,2.41576489,3.519811598
1,20120112 19:00,0.086176107,1.48883638,2.746929485,2.253429761,4.469889023
1,20120112 20:00,0.026031388,1.238945641,3.453548625,1.827077059,5.474151824
1,20120112 21:00,0.160041346,1.093146337,4.017544407,1.530949241,5.862412453
1,20120112 22:00,0.093788178,0.988698425,4.244962061,1.338287768,6.002968504
1,20120112 23:00,0.11577859,0.931305545,4.201102942,1.265147765,5.898264431
1,20120113 0:00,0.187764303,0.954833061,3.781354929,1.286554595,5.2288917
1,20120113 1:00,0.21407762,1.420795915,4.071117147,1.929763659,5.57295256
1,20120113 2:00,0.231275253,1.329871972,4.155061593,1.771357691,5.585450585
1,20120113 3:00,0.231087302,1.129759889,4.32020464,1.494738314,5.807530876
1,20120113 4:00,0.274786199,0.944735621,4.253912063,1.230413131,5.688799638
1,20120113 5:00,0.382482841,0.796636797,4.308044463,1.023776092,5.772440268
1,20120113 6:00,0.350906861,0.601686335,4.430038495,0.764652299,5.98586808
1,20120113 7:00,0.417723886,0.362266521,4.579490991,0.424197681,6.27524543
1,20120113 8:00,0.43520344,-0.038751742,4.773269293,-0.126203952,6.704985216
1,20120113 9:00,0.352504456,-0.37068369,4.416701527,-0.639250147,6.783818912
1,20120113 10:00,0.204116151,-0.384580362,3.520771079,-0.830283017,6.760745635
1,20120113 11:00,0.119913541,-0.431432001,3.288158664,-0.944240743,6.61749904
1,20120113 12:00,0.09707734,-0.452078486,2.970425011,-1.016114496,6.131998835
1,20120113 13:00,0.037214549,-0.482651165,2.824502888,-1.131963637,5.824355141
1,20120113 14:00,0.019547035,-0.853096748,3.42937362,-1.764641802,6.30168356
1,20120113 15:00,0.099050841,-1.083781511,3.731808986,-1.922574917,6.118539424
1,20120113 16:00,0.086458038,-0.753437754,3.222650614,-1.384940332,5.505655502
1,20120113 17:00,0.101494217,-0.777260621,3.72906314,-1.231735754,5.641211004
1,20120113 18:00,0.078564042,-0.835626646,3.567450467,-1.315903701,5.364812373
1,20120113 19:00,0.087397801,-0.88684581,3.129291837,-1.520649326,5.108602859
1,20120113 20:00,0.048491681,-1.379582111,3.719256546,-2.106042128,5.54507235
1,20120113 21:00,0.07301945,-1.820305152,4.129564448,-2.64982381,5.948374005
1,20120113 22:00,0.079691757,-1.783776755,3.98403459,-2.50040206,5.580643652
1,20120113 23:00,0.141622022,-1.589620389,3.98089648,-2.214798464,5.476333212
1,20120114 0:00,0.181655855,-1.474079483,4.060526025,-2.043152594,5.522960459
1,20120114 1:00,0.227798136,-1.715391849,4.218506637,-2.339624173,5.706196523
1,20120114 2:00,0.257400613,-1.672584902,4.328850437,-2.283350337,5.813421825
1,20120114 3:00,0.316511599,-1.568242969,4.476901651,-2.175436981,5.985492903
1,20120114 4:00,0.295085043,-1.485839597,4.481267773,-2.070171806,5.985492903
1,20120114 5:00,0.307583867,-1.354208236,4.619395983,-1.907308705,6.193305749
1,20120114 6:00,0.338971895,-1.369190667,4.75037963,-1.943721187,6.422053059
1,20120114 7:00,0.383798505,-1.510988678,4.921055292,-2.165506304,6.748324333
1,20120114 8:00,0.404849163,-1.71860237,4.987340956,-2.534927485,7.030173697
1,20120114 9:00,0.418475701,-1.79297944,4.503892221,-2.889783672,6.918353025
1,20120114 10:00,0.359364715,-1.641549866,3.655673873,-3.256556672,6.773854167
1,20120114 11:00,0.280142839,-1.876452986,3.479441329,-3.732567117,6.544085664
1,20120114 12:00,0.25552109,-2.129549058,3.184529662,-4.233073232,6.043190328
1,20120114 13:00,0.194248658,-2.289004935,2.809837046,-4.623679856,5.410050453
1,20120114 14:00,0.291044068,-2.286864587,2.392673975,-4.927558569,4.872902753
1,20120114 15:00,0.182031758,-2.196434912,2.192626222,-4.896442448,4.615051433
1,20120114 16:00,0.177896813,-2.11403154,2.181115538,-4.771977964,4.721255541
1,20120114 17:00,0.218870403,-2.106005237,2.219616792,-4.785218867,4.88413588
1,20120114 18:00,0.161826891,-2.150417445,2.171589455,-4.909021305,4.825417262
1,20120114 19:00,0.115778591,-2.186268263,2.040605807,-5.028851473,4.568587136
1,20120114 20:00,0.098862888,-2.493408105,2.033064324,-5.219520469,4.135601157
1,20120114 21:00,0.21163424,-4.479650433,3.058309056,-6.509846419,4.428683647
1,20120114 22:00,0.397143119,-3.868581268,2.619712297,-5.453884444,3.656150881
1,20120114 23:00,0.407856397,-3.484924009,2.502620855,-4.80243204,3.393193594
1,20120115 0:00,0.292077804,-3.21095955,2.332342113,-4.360847941,3.082750817
1,20120115 1:00,0.211352312,-3.195887529,2.176265642,-4.313077342,2.824257709
